uuid,type,title,rating,reviews,score,timestamp
122b065b-c2c3-45da-ada4-8691def65885,regular_store,bar nacional - isidora goyenechea,4.8,200,0.38,2022_Apr_21_08_52_41
1ca2b0bc-c59c-4c04-8b21-c75cd33f1aad,regular_store,rocoto - providencia,4.7,200,0.38,2022_Apr_21_08_52_41
c68ca1ad-aacd-4efa-a0cd-7f9d3054286a,regular_store,il mascarpone - las condes,4.8,200,0.38,2022_Apr_21_08_52_41
9d51497e-d6f9-416a-93a4-5d32c4f6993f,regular_store,la ruffina,4.7,200,0.38,2022_Apr_21_08_52_41
cee2ec44-e02d-475c-80d1-1f33357b407f,regular_store,just burger - manuel montt,4.7,200,0.38,2022_Apr_21_08_52_41
d15b5206-4d6a-4d93-bbc0-bb8e1482c42a,regular_store,sushimi,4.6,200,0.37,2022_Apr_21_08_52_41
0f972d74-3fd8-485c-aeaf-41fd036c2c21,regular_store,vapiano - parque arauco,4.6,200,0.37,2022_Apr_21_08_52_41
914b6650-f423-4209-9471-39bcae602bc4,regular_store,mish burger,4.6,199,0.37,2022_Apr_21_08_52_41
e5bf95b7-9189-4e56-babf-fed5f380b2e6,regular_store,vegan meat - providencia,4.6,200,0.37,2022_Apr_21_08_52_41
dbd9e09a-277b-49ba-b89f-c8a8198bb395,regular_store,tip y tap - san crescente,4.6,200,0.37,2022_Apr_21_08_52_41
bd488b24-934d-4dbc-8bb8-6e0fb6816342,regular_store,el indio pícaro,4.6,194,0.36,2022_Apr_21_08_52_41
59480738-c303-4290-a4c0-2a2994016618,regular_store,p.f. chang's - isidora,4.4,200,0.35,2022_Apr_21_08_52_41
d796a340-cfc3-4a40-a1ec-6e311d348847,regular_store,samurai sushi,4.7,181,0.34,2022_Apr_21_08_52_41
6abb7baa-4baf-4a06-a6a0-b6efcd0bc3ff,regular_store,tung fong - guardia vieja,4.3,200,0.34,2022_Apr_21_08_52_41
9c0681b2-998c-4157-9400-a6fb7bf0c1fd,regular_store,tony romas,4.3,189,0.33,2022_Apr_21_08_52_41
1a2a3e8e-63d7-4a9f-b68a-05d966fa8560,regular_store,rosita - ñuñoa,4.4,181,0.32,2022_Apr_21_08_52_41
f28c0eb0-59a1-5afc-b5cf-e57952c5c5e5,regular_store,oliva delivery - providencia,4.6,175,0.32,2022_Apr_21_08_52_41
42671be0-38db-4212-ae95-302551ca836b,regular_store,mr qiu - las condes,4.6,163,0.3,2022_Apr_21_08_52_41
